Diego Maradona y Colombia
El Diego de la gente también se llora en Colombia
Los recuerdos de Córdoba y Aristizábal con Diego Armando Maradona
"Diego Maradona, de la burla a los aplausos: recuerdos del 5-0 de Colombia a Argentina"
Entre sus preferidos: Diego Maradona recuerda el gol al Pereira con Argentinos
Los partidos que Diego Maradona jugó contra Colombia
La admiración de Diego Maradona por el fútbol colombiano hecha foto
